timeframe,split,direction,control_id,comparison_scope,denominator_label,denominator_count,event_count,events_per_1000
6H,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1501,83,55.2964690206529
6H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1501,123,81.94536975349767
6H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1501,114,75.9493670886076
8H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,3375,215,63.70370370370371
8H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,3375,335,99.25925925925925
8H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,3375,288,85.33333333333333
8H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,3375,165,48.88888888888889
8H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,3375,298,88.29629629629629
8H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,3375,226,66.96296296296296
8H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1125,73,64.88888888888889
8H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1125,96,85.33333333333333
8H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1125,79,70.22222222222223
8H,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1125,59,52.44444444444444
8H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1125,92,81.77777777777779
8H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1125,85,75.55555555555556
