timeframe,split,direction,control_id,event_semantics,comparison_scope,horizon,event_count,base_sample_count,sample_flag,reversal_rate,reversal_wilson_lo,reversal_wilson_hi,base_rate,absolute_lift,relative_lift,forward_return_mean,forward_return_median,forward_return_mean_ci_lo,forward_return_mean_ci_hi,mfe_pct_mean,mfe_pct_median,mfe_pct_mean_ci_lo,mfe_pct_mean_ci_hi,mae_pct_mean,mae_pct_median,mae_pct_mean_ci_lo,mae_pct_mean_ci_hi,mfe_atr_mean,mfe_atr_median,mfe_atr_mean_ci_lo,mfe_atr_mean_ci_hi,mae_atr_mean,mae_atr_median,mae_atr_mean_ci_lo,mae_atr_mean_ci_hi
1D,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,1,122,1124,N_GE_100,0.5081967213114754,0.42059761056042066,0.5952953850785413,0.46441281138790036,0.04378390992357506,0.09427799761321531,0.0020071059794518776,-0.0013460348769684938,-0.005823119089704362,0.011770579964740348,3.696606581479419,2.980046497203773,3.1949011554013107,4.239358023454732,3.6721938361105497,2.339308334203109,3.00417499558217,4.5160651510483465,0.5787700444099475,0.4684123414105393,0.4961722075651818,0.6760169229533424,0.602850620671158,0.38709865274773214,0.48056607261106116,0.7376947877674239
1D,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,3,122,1122,N_GE_100,0.5081967213114754,0.42059761056042066,0.5952953850785413,0.45276292335115864,0.05543379796031678,0.12243449077062096,0.011272778388761898,-8.518128655649049e-05,-0.0027295647034507623,0.02807971749550187,6.021392254842552,4.776022157775872,5.138501301679747,6.832040475860612,6.755175690628034,4.924944839026409,5.71263999464015,8.045944901385244,0.9175725964596724,0.7929836109599105,0.7999657028546491,1.048422942745894,1.1299693657446033,0.7519125462997522,0.9439962966921954,1.3466882365124586
1D,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,5,122,1120,N_GE_100,0.47540983606557374,0.3889027223505297,0.5634182907325843,0.4455357142857143,0.02987412177985943,0.0670521370610071,0.014787815472511743,0.005213745250622681,-0.003820255089701666,0.033349785457428074,7.961642064085139,6.279837125847866,6.8345753348923655,9.120969803550656,8.677677522854346,5.667840446015334,7.347601377418769,10.320712191516384,1.2220346697106061,1.1047547338752077,1.0470184645175453,1.3919067436577126,1.4697344405072335,0.9500583878479174,1.2165050404457074,1.743575999060017
1D,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,10,122,1115,N_GE_100,0.4180327868852459,0.33432031040117327,0.5067497332092068,0.4260089686098655,-0.007976181724619558,-0.018723037100949025,0.03383086843533676,0.026429106300306038,0.003990945097538265,0.06980979456344316,11.135595925906427,7.217024091103964,9.320455043751922,13.025994338609198,14.057824409804347,10.088947500967526,11.897217624330581,16.510126714200773,1.7487292582918748,1.2313467063685317,1.4752419551158327,2.0334290504236683,2.3745588990630586,1.6865601613230092,1.9731940139472655,2.7747277965605375
1D,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,1,58,1124,N_30_99,0.5689655172413793,0.44117876705727427,0.6881839919916508,0.5355871886120996,0.0333783286292797,0.062320998968954155,0.003862624392523686,0.010262872218789187,-0.01098835461639114,0.021336850203322724,4.853871716347828,3.592254259378194,3.729018223297975,6.0568661446385645,6.437391554544509,5.19444660084906,5.0861659847999725,7.774836636210078,0.5443660007026074,0.5001478681700162,0.4518316019524092,0.6421632987259296,0.8102768606657227,0.6791333870382663,0.6532416976856417,0.9906977271321632
1D,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,3,58,1122,N_30_99,0.5517241379310345,0.4245185822161052,0.6725034870705885,0.5472370766488414,0.004487061282193117,0.008199483320229017,0.0015845185161665963,0.006518783525753524,-0.0189292398532868,0.022540165954703366,6.860878670927384,5.666325680008523,5.477661997464198,8.341916642914125,8.858305466757601,7.4016803004821,7.230749233816031,10.58679845619141,0.8014960647186661,0.6797020260756769,0.6668911806170913,0.932519951899145,1.131784218422214,0.8815624844389731,0.9334634425789445,1.3565481962339023
1D,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,5,58,1120,N_30_99,0.5344827586206896,0.40799953310272974,0.6566818464217328,0.5535714285714286,-0.01908866995073899,-0.034482758620689835,-0.0006519705871950931,0.009839165646179815,-0.026706049736720628,0.028827653705346203,8.581195225160085,6.498502108815016,6.743190008544472,10.374210516369228,11.671630561876812,8.273965658920456,9.342086424987881,14.410150126474008,1.0257840848644733,0.8963599229403336,0.8410931117207354,1.2327890773879313,1.4646584712260544,0.9727161492921274,1.1744905863279118,1.776662240605728
1D,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,10,58,1115,N_30_99,0.5,0.3753805824767928,0.6246194175232072,0.5739910313901345,-0.07399103139013452,-0.12890625,-0.008708805337651625,-0.002397905767442421,-0.03962395126553946,0.025463540205279304,10.986867250315841,8.324806684095728,8.728917368890327,13.374624309897143,13.620187315092233,9.653179728770176,10.91121080366043,16.969487780544338,1.31813565991336,1.1372541750215843,1.03166509348335,1.6099344841806305,1.7444230755481074,1.268948716900864,1.383555743394751,2.1443650052175367
1D,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,1,98,1124,N_30_99,0.5714285714285714,0.4725825662207811,0.6648858160512964,0.5355871886120996,0.035841382816471756,0.06691979117228275,0.0017972369398987157,0.005730389739891262,-0.0072539799926611415,0.010820508832077276,3.3421723822328735,3.0278958372667706,2.8559440519370387,3.8717783043973446,4.336478410291081,3.453695905018236,3.5994812755329533,5.0710106541679,0.4231640496521692,0.39626435998487075,0.3638763172645207,0.4920310669684527,0.5800804712399877,0.41802469133987846,0.4613034442878033,0.7059733367977109
1D,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,3,98,1122,N_30_99,0.6632653061224489,0.5651133741942346,0.7491000709990853,0.5472370766488414,0.11602822947360758,0.21202552682310705,0.02413310488684725,0.02450777206335053,0.006360641259679197,0.04250629573064166,6.785361792768973,5.1856427419649505,5.776410143305608,8.011314745982325,6.025409410468815,4.747451675156851,5.13498999052435,7.072821044060055,0.8592305338856159,0.6671696016132669,0.7211947410647342,1.0077724283286624,0.809863638298359,0.5676123669132895,0.6556065660386121,0.9647315371983947
1D,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,5,98,1120,N_30_99,0.6326530612244898,0.5338857137383178,0.7214127104812545,0.5535714285714286,0.07908163265306123,0.1428571428571428,0.023764783068601532,0.028183848946692902,0.00042743755076902866,0.047562304232743456,9.113930581879268,7.0851175289880075,7.790942144445645,10.565993837790135,8.29767481411408,5.4608492486926234,6.552003170529388,10.179595907420559,1.1607597309603517,0.928203716422543,0.9720969218448889,1.3445904229939496,1.109307607470033,0.6841072540354747,0.8935235634106641,1.3564956113320905
1D,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,10,98,1115,N_30_99,0.673469387755102,0.5756129567648199,0.7582388287530822,0.5739910313901345,0.09947835636496749,0.17330994897959173,0.0473834826517168,0.04147576270536124,0.020037467817363142,0.07730998935640818,13.958996384642518,9.782023238084363,12.038214676111167,16.268661294027236,9.898768569468748,6.611728563020401,8.05412561533822,11.96672284706614,1.856723708870386,1.3843486499110278,1.5076798000539624,2.2112817693704065,1.3177760375900525,0.8517446867424994,1.0750772379382343,1.594931645717148
1D,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,1,82,1124,N_30_99,0.6219512195121951,0.5137693688945206,0.7192179006810697,0.5355871886120996,0.08636403090009548,0.16125111417227123,0.005277970413508437,0.010845454398446086,-0.0048003794130806856,0.013948751622051921,3.553744696387885,3.5288567546335186,2.9623701501008317,4.059696607912127,4.25154414288756,3.1259189075864615,3.3586900710184966,5.365719363882193,0.4640001419228507,0.4728137207896317,0.4020613703407923,0.5217311369034309,0.5917075101047434,0.38030723283752377,0.46302408867576883,0.7607852850983505
1D,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,3,82,1122,N_30_99,0.6585365853658537,0.5508753748631217,0.7520080755851459,0.5472370766488414,0.11129950871701233,0.2033844442678956,0.02209138166414692,0.024180842161207083,0.003232227007474517,0.04067050626185653,6.998798215743882,5.582533729783219,5.703902230961725,8.267906305629662,6.060159729461712,4.43793962516439,4.824032288772208,7.259503207230067,0.9078860277336983,0.8337280770116464,0.7774356094270056,1.0491896518837565,0.846558262242646,0.613135778953249,0.6827881772911896,1.0494494905027274
1D,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,5,82,1120,N_30_99,0.6707317073170732,0.5633818520351263,0.7628003253707004,0.5535714285714286,0.11716027874564461,0.21164437450826123,0.023131011847254686,0.02702785201215263,-0.002888985073311974,0.048278470367083944,9.37085755211908,7.158161642931121,7.803449918062526,11.01741229769908,8.272982370937495,5.054629691859638,6.291611684291581,10.518943099576216,1.2314203293360688,1.0439136318704927,1.0562361021848257,1.411549411432375,1.147269415949939,0.7303617671768208,0.8610965573489694,1.4392137612993998
1D,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,10,82,1115,N_30_99,0.6707317073170732,0.5633818520351263,0.7628003253707004,0.5739910313901345,0.09674067592693869,0.16854039634146356,0.041234236364656666,0.04147576270536124,0.004700474668521413,0.07404048057555539,14.626382064914088,10.498771990644341,12.37098797879131,16.919020969964105,10.453271041598628,6.389511655849015,8.305356445058866,12.85055738577819,2.073135160624899,1.4382299255001514,1.662556722939573,2.425345772255395,1.4747652938462188,0.8887148752844982,1.124510406486038,1.8258490603922255
1D,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,1,25,374,N_LT_30,0.68,0.4840991373457672,0.8279501248310885,0.516042780748663,0.163957219251337,0.3177202072538863,-0.002662260085708672,-0.010822116027675355,-0.013878087178532995,0.010186217626515904,2.7760771872531302,2.4481250869088313,2.0892405466994948,3.65946807366126,2.8931899223961364,1.3491165991804408,1.9375089817205777,3.8787632276434936,0.570678590979533,0.49527233160548967,0.4102882127642822,0.7419045878917666,0.5987402039504715,0.328919244307208,0.38873876167182403,0.8215935179874304
1D,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,3,25,372,N_LT_30,0.44,0.2666537494700257,0.6293298298043557,0.47043010752688175,-0.030430107526881744,-0.06468571428571435,0.011842712264430273,0.005704511098734821,-0.006798144028097198,0.03153412314966584,3.669611707538619,3.3672213260888038,2.8487685975543826,4.724936943053632,5.148481578896026,3.813149235434538,3.4056329597498034,7.160934602357568,0.7672064527412004,0.7022758925725217,0.5737582794374555,0.9731831401288339,1.0819283621829767,0.6171946352471278,0.7010869780791368,1.6361358763879887
1D,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,5,25,370,N_LT_30,0.44,0.2666537494700257,0.6293298298043557,0.4702702702702703,-0.030270270270270294,-0.06436781609195408,0.0037248130953451987,0.003647377239335059,-0.03419511873247422,0.03612755187705015,5.693842536543111,4.423591744119115,3.6918191616465754,8.778403569143373,6.228711301249088,4.364848454182057,4.39890499216942,8.25393010300951,1.2307217534738586,0.814556152576007,0.7256122925529954,1.7542828227225782,1.3256624456278552,1.0073389870764322,0.8923710593403097,1.879268739737238
