family,feature_set,horizon_minutes,weighted_log_loss,weighted_brier,weighted_ece,weighted_delta_logloss,weighted_delta_brier,improved_folds,support_class
LIGHTGBM,FS_DENSE_ATOMIC,30,0.6917356790661314,0.249285931869408,0.016190843323082783,-0.001405702838314375,-0.0007111678367591604,2.0,SUPPORTED
LIGHTGBM,FS_DENSE_ATOMIC,60,0.6949821343580704,0.2508750003864967,0.029397742871812748,0.0017616694102735994,0.0008383625786648896,1.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_ATOMIC,120,0.7077322710272664,0.2569204431825038,0.06323583129968842,0.014637515727605402,0.006946671823681532,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_ATOMIC,240,0.7147393780511856,0.26005559512034704,0.07926671041558674,0.02162978502972155,0.010074548205301546,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_ATOMIC,480,0.7766079809018318,0.28605338063301305,0.15757377800595657,0.08331203001371885,0.03597949642781137,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_ATOMIC,720,0.8051646713040069,0.29714318677953283,0.18797005045298631,0.11152470998170488,0.04689750550168909,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_ATOMIC,1440,0.8910185118190543,0.32146788382956937,0.21651911732013993,0.19758466450855783,0.07132665803500784,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_COMPOSITE,30,0.6917555092198524,0.24928569758324118,0.017637630532669035,-0.0013858726845932569,-0.0007114021229259859,3.0,SUPPORTED
LIGHTGBM,FS_DENSE_COMPOSITE,60,0.6944818187600578,0.2506224529695299,0.029080672751797657,0.0012613538122610312,0.0005858151616980799,1.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_COMPOSITE,120,0.7038432055190613,0.255107772092245,0.05499879273465887,0.010748450219400215,0.00513400073342275,1.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_COMPOSITE,240,0.708229770570996,0.25719131967594283,0.07020040444340332,0.015120177549532128,0.007210272760897345,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_COMPOSITE,480,0.7618750718648688,0.2799208758647931,0.1412976638789188,0.06857912097675589,0.02984699165959133,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_COMPOSITE,720,0.8011440991510522,0.2955409300864472,0.18365856304376135,0.10750413782875026,0.0452952488086035,0.0,NOT_SUPPORTED
LIGHTGBM,FS_DENSE_COMPOSITE,1440,0.8652872486790913,0.31458269284448087,0.20337149053304207,0.1718534013685948,0.06444146704991938,0.0,NOT_SUPPORTED
LIGHTGBM,FS_FULL,30,0.6914191363924818,0.24911749127485505,0.014445564354861216,-0.0017222455119640062,-0.0008796084313121126,3.0,SUPPORTED
LIGHTGBM,FS_FULL,60,0.693802784526723,0.25028792394730215,0.024816673744345562,0.0005823195789259997,0.00025128613947035695,1.0,NOT_SUPPORTED
LIGHTGBM,FS_FULL,120,0.7034791917253023,0.25494593628654805,0.05561818069564269,0.01038443642564115,0.0049721649277258105,1.0,NOT_SUPPORTED
LIGHTGBM,FS_FULL,240,0.7096747217792165,0.2578205647554192,0.07314027311229317,0.016565128757752463,0.007839517840373737,0.0,NOT_SUPPORTED
LIGHTGBM,FS_FULL,480,0.7643525250769375,0.28126681212074695,0.14686436013729653,0.07105657418882465,0.0311929279155452,0.0,NOT_SUPPORTED
LIGHTGBM,FS_FULL,720,0.7897324828612501,0.2911655723793109,0.17278480765233067,0.09609252153894804,0.04091989110146718,0.0,NOT_SUPPORTED
LIGHTGBM,FS_FULL,1440,0.8584724430105967,0.3125432570794955,0.1988297806039917,0.16503859570010007,0.062402031284934045,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE,30,0.6999555126988728,0.25285199567546174,0.029196150260362094,0.0068141307944270865,0.0028548959692945236,2.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE,60,0.7093388955406259,0.2565860233228007,0.038063076179946774,0.016118430592829053,0.006549385514968927,2.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE,120,0.7149033949923338,0.2586142171229527,0.0447502500244591,0.0218086396926728,0.008640445764130379,2.0,NOT_SUPPORTED
