timeframe,split,direction,horizon,event_semantics,dynamic_event_count,dynamic_reversal_rate,dynamic_absolute_lift,dynamic_minus_quantile_lift,dynamic_minus_quantile_reversal_rate,vs_quantile_class,dynamic_minus_atr_lift,dynamic_minus_atr_reversal_rate,vs_atr_class
2H,VALIDATION,OB,3,FORECAST_REALIZATION,343,0.5160349854227405,0.013589454075475071,-0.012170142782387705,-0.012170142782387705,WORSE,0.007701652089407207,0.007701652089407207,SIMILAR
2H,VALIDATION,OB,5,FORECAST_REALIZATION,343,0.49271137026239065,-0.018854466036541728,-0.011144670868714734,-0.011144670868714734,WORSE,0.030211370262390624,0.030211370262390624,BETTER
2H,VALIDATION,OB,10,FORECAST_REALIZATION,343,0.46355685131195334,-0.038558490482747176,-0.01459224894511607,-0.01459224894511607,WORSE,0.05522351797862002,0.05522351797862002,BETTER
2H,VALIDATION,OS,1,FORECAST_REALIZATION,356,0.5646067415730337,0.05682896379525593,-0.04578286881657667,-0.04578286881657667,WORSE,-0.04120238705767165,-0.04120238705767165,WORSE
2H,VALIDATION,OS,3,FORECAST_REALIZATION,356,0.5393258426966292,0.041993695075464244,-0.011323507952721412,-0.011323507952721412,WORSE,-0.004242622033661214,-0.004242622033661214,SIMILAR
2H,VALIDATION,OS,5,FORECAST_REALIZATION,356,0.5140449438202247,0.02583320004798273,-0.005435575660294734,-0.005435575660294734,SIMILAR,-0.000477877756538736,-0.000477877756538736,SIMILAR
2H,VALIDATION,OS,10,FORECAST_REALIZATION,356,0.5028089887640449,0.005592333230756086,0.006705092660148793,0.006705092660148793,SIMILAR,-0.007564455219357558,-0.007564455219357558,SIMILAR
30m,DISCOVERY,OB,1,FORECAST_REALIZATION,4504,0.5575044404973357,0.06369501570101038,0.0023102564529507985,0.0023102564529507985,SIMILAR,0.043971155932595374,0.043971155932595374,BETTER
30m,DISCOVERY,OB,3,FORECAST_REALIZATION,4503,0.5369753497668222,0.046096160337510794,-0.007887860487625908,-0.007887860487625908,SIMILAR,0.030572129861955677,0.030572129861955677,BETTER
30m,DISCOVERY,OB,5,FORECAST_REALIZATION,4503,0.528758605374195,0.04162274269248073,-0.01046833683782189,-0.01046833683782189,WORSE,0.019794097507381925,0.019794097507381925,BETTER
30m,DISCOVERY,OB,10,FORECAST_REALIZATION,4503,0.5178769709082833,0.03780361665260218,-0.008338107545601048,-0.008338107545601048,SIMILAR,0.012205547563973074,0.012205547563973074,BETTER
30m,DISCOVERY,OS,1,FORECAST_REALIZATION,4306,0.5647933116581514,0.0613057967724171,-0.0030145188695580583,-0.0030145188695580583,SIMILAR,0.0027385685010460348,0.0027385685010460348,SIMILAR
30m,DISCOVERY,OS,3,FORECAST_REALIZATION,4306,0.5559684161634928,0.04864341285542684,-0.008056550736450507,-0.008056550736450507,SIMILAR,0.002162641885277594,0.002162641885277594,SIMILAR
30m,DISCOVERY,OS,5,FORECAST_REALIZATION,4306,0.5631676730143985,0.0518914674150488,-0.0038835847877577434,-0.0038835847877577434,SIMILAR,0.006362273689314191,0.006362273689314191,SIMILAR
30m,DISCOVERY,OS,10,FORECAST_REALIZATION,4305,0.5572590011614402,0.03812639632913406,0.0033429966211451223,0.0033429966211451223,SIMILAR,-0.005756752777044349,-0.005756752777044349,SIMILAR
30m,VALIDATION,OB,1,FORECAST_REALIZATION,1400,0.5614285714285714,0.06727685036362763,-0.011122819139747886,-0.011122819139747886,WORSE,0.01120026092628823,0.01120026092628823,BETTER
30m,VALIDATION,OB,3,FORECAST_REALIZATION,1400,0.55,0.05278520499108741,-0.017110036275695295,-0.017110036275695295,WORSE,0.0031963470319634757,0.0031963470319634757,SIMILAR
30m,VALIDATION,OB,5,FORECAST_REALIZATION,1400,0.5328571428571428,0.03218861918026261,-0.008859906719640764,-0.008859906719640764,SIMILAR,-0.007097195042400584,-0.007097195042400584,SIMILAR
30m,VALIDATION,OB,10,FORECAST_REALIZATION,1400,0.5257142857142857,0.025686422799824804,-0.016607358783900517,-0.016607358783900517,WORSE,0.0017416829745596774,0.0017416829745596774,SIMILAR
30m,VALIDATION,OS,1,FORECAST_REALIZATION,1351,0.6032568467801629,0.09885671310521582,0.023303196722225472,0.023303196722225472,BETTER,0.030235665063328976,0.030235665063328976,BETTER
30m,VALIDATION,OS,3,FORECAST_REALIZATION,1351,0.5677276091783864,0.06549944518551654,0.0010995674634385333,0.0010995674634385333,SIMILAR,-0.0008342637313125678,-0.0008342637313125678,SIMILAR
30m,VALIDATION,OS,5,FORECAST_REALIZATION,1350,0.5718518518518518,0.07285463736717218,-0.0020611916264090535,-0.0020611916264090535,SIMILAR,0.031160658986745915,0.031160658986745915,BETTER
30m,VALIDATION,OS,10,FORECAST_REALIZATION,1350,0.5711111111111111,0.07169623231478905,0.006398400722254505,0.006398400722254505,SIMILAR,0.03822370865849123,0.03822370865849123,BETTER
4H,DISCOVERY,OB,1,FORECAST_REALIZATION,605,0.5289256198347108,0.04647081199633918,0.011096162470369708,0.011096162470369708,BETTER,0.02395049545660133,0.02395049545660133,BETTER
4H,DISCOVERY,OB,3,FORECAST_REALIZATION,605,0.46611570247933887,-0.008432238563055916,-0.003651739381126229,-0.003651739381126229,SIMILAR,0.05069281690719957,0.05069281690719957,BETTER
4H,DISCOVERY,OB,5,FORECAST_REALIZATION,605,0.4479338842975207,-0.019766374100412154,0.0014222563905439412,0.0014222563905439412,SIMILAR,0.022560749969162464,0.022560749969162464,BETTER
4H,DISCOVERY,OB,10,FORECAST_REALIZATION,605,0.4628099173553719,0.00023005730061070873,-0.0038567493112947604,-0.0038567493112947604,SIMILAR,0.005098474569302236,0.005098474569302236,SIMILAR
4H,DISCOVERY,OS,1,FORECAST_REALIZATION,494,0.5668016194331984,0.050471678676704435,-0.01852261264871291,-0.01852261264871291,WORSE,-0.010855056316120382,-0.010855056316120382,WORSE
