timeframe,split,direction,control_id,horizon,sample_count,sample_flag,reversal_rate_event,reversal_wilson_lo,reversal_wilson_hi
4H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,585,N_GE_100,0.5743589743589743,0.5339343851944047,0.6138133282823603
4H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,585,N_GE_100,0.5777777777777777,0.5373731100334809,0.617167601764055
4H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,585,N_GE_100,0.558974358974359,0.5184840418941625,0.5986951791391342
4H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,194,N_GE_100,0.5721649484536082,0.5018055076371037,0.6397218556676814
4H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,193,N_GE_100,0.48704663212435234,0.41747222270788775,0.557126642572622
4H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,193,N_GE_100,0.47668393782383417,0.4073632863045734,0.5469146712003441
4H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,193,N_GE_100,0.48186528497409326,0.41241407003029484,0.5520243413624187
4H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,182,N_GE_100,0.5824175824175825,0.5097890727788562,0.6516387237962918
4H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,182,N_GE_100,0.4835164835164835,0.41200778456514325,0.5557066561198272
4H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,182,N_GE_100,0.4835164835164835,0.41200778456514325,0.5557066561198272
4H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,182,N_GE_100,0.554945054945055,0.48234790627024565,0.625270624779853
5m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,30944,N_GE_100,0.5429808686659773,0.5374254367704583,0.5485256300076526
5m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,30944,N_GE_100,0.5356127197518097,0.5300517312021622,0.5411648669854154
5m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,30944,N_GE_100,0.5406217683557394,0.5350644244568283,0.5461690273778224
5m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,30944,N_GE_100,0.5252068252326784,0.5196400645902033,0.5307673279563581
5m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,32455,N_GE_100,0.5524572484979202,0.5470415484246208,0.5578605316298936
5m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,32455,N_GE_100,0.5555076259436142,0.5500951683282853,0.560906944575214
5m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,32455,N_GE_100,0.5589893698967802,0.5535808653346381,0.5643839113257834
5m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,32455,N_GE_100,0.5472500385148668,0.5418292786898607,0.5526596139759824
5m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,10376,N_GE_100,0.5542598303777949,0.5446775171713003,0.5638019802422247
