timeframe,split,direction,distance_bin,sample_count,sample_flag,next_close_hit_rate,next_close_hit_wilson_lo,next_close_hit_wilson_hi,next_intrabar_touch_rate
6H,DISCOVERY,OB,0.50-0.75,705,N_GE_100,0.23404255319148937,0.20428101481138386,0.26668682906233904,0.34893617021276596
6H,DISCOVERY,OB,0.75-1.00,659,N_GE_100,0.1638846737481032,0.13758462454931514,0.19408073863851139,0.22306525037936267
6H,DISCOVERY,OB,1.00-1.50,1035,N_GE_100,0.07632850241545894,0.06167270145391525,0.09411774821617881,0.10434782608695652
6H,DISCOVERY,OB,1.50-2.00,501,N_GE_100,0.05189620758483034,0.035658210036087074,0.07495391067662756,0.05788423153692615
6H,DISCOVERY,OB,>2.00,288,N_GE_100,0.03125,0.016526015692297738,0.0583145827693335,0.034722222222222224
6H,VALIDATION,OB,0.00-0.25,185,N_GE_100,0.5027027027027027,0.4313343411435916,0.5739611022332914,0.8378378378378378
6H,VALIDATION,OB,0.25-0.50,174,N_GE_100,0.367816091954023,0.29974164230988604,0.44160121560412285,0.5632183908045977
6H,VALIDATION,OB,0.50-0.75,226,N_GE_100,0.168141592920354,0.12502035754233903,0.22235627053543283,0.30973451327433627
6H,VALIDATION,OB,0.75-1.00,241,N_GE_100,0.17427385892116182,0.13159365214313534,0.22717544591863192,0.22821576763485477
6H,VALIDATION,OB,1.00-1.50,357,N_GE_100,0.11484593837535013,0.08579415421617503,0.15209859429175754,0.1484593837535014
6H,VALIDATION,OB,1.50-2.00,196,N_GE_100,0.05612244897959184,0.03162318523457617,0.09768722861319126,0.05612244897959184
6H,VALIDATION,OB,>2.00,121,N_GE_100,0.024793388429752067,0.008467160919079428,0.07036553587429713,0.049586776859504134
8H,DISCOVERY,OB,0.00-0.25,462,N_GE_100,0.4935064935064935,0.4481584994310915,0.538961586022848,0.9047619047619048
8H,DISCOVERY,OB,0.25-0.50,486,N_GE_100,0.3436213991769547,0.3027722239519252,0.3869233837710611,0.5740740740740741
8H,DISCOVERY,OB,0.50-0.75,504,N_GE_100,0.24603174603174602,0.21044399509061043,0.2854618149099882,0.373015873015873
8H,DISCOVERY,OB,0.75-1.00,537,N_GE_100,0.14338919925512103,0.11627648020905475,0.17556793412593724,0.2048417132216015
8H,DISCOVERY,OB,1.00-1.50,829,N_GE_100,0.0735826296743064,0.05770845428611554,0.09339062625933273,0.10494571773220748
8H,DISCOVERY,OB,1.50-2.00,369,N_GE_100,0.056910569105691054,0.03752072947105334,0.0854312158054394,0.06504065040650407
8H,DISCOVERY,OB,>2.00,188,N_GE_100,0.047872340425531915,0.025387019131789597,0.08846524231723918,0.047872340425531915
8H,VALIDATION,OB,0.00-0.25,134,N_GE_100,0.4253731343283582,0.34489066618661857,0.5100152548125574,0.8507462686567164
8H,VALIDATION,OB,0.25-0.50,151,N_GE_100,0.37748344370860926,0.3041077307818202,0.45693839635713973,0.6158940397350994
8H,VALIDATION,OB,0.50-0.75,170,N_GE_100,0.19411764705882353,0.14169387619024199,0.2600603644518138,0.27647058823529413
8H,VALIDATION,OB,0.75-1.00,184,N_GE_100,0.1358695652173913,0.09375218533785816,0.19288080756680193,0.21195652173913043
8H,VALIDATION,OB,1.00-1.50,275,N_GE_100,0.08363636363636363,0.05637575972927227,0.12236944902006783,0.12727272727272726
8H,VALIDATION,OB,1.50-2.00,127,N_GE_100,0.07086614173228346,0.03772763102767921,0.12920398705097466,0.09448818897637795
8H,VALIDATION,OB,>2.00,83,N_30_99,0.07228915662650602,0.033549838417288064,0.14886964717487056,0.08433734939759036
12H,DISCOVERY,OS,0.00-0.25,226,N_GE_100,0.4026548672566372,0.3408564144124485,0.4677073964903645,0.8893805309734514
12H,DISCOVERY,OS,0.25-0.50,288,N_GE_100,0.3125,0.26173142718669185,0.36820481219796075,0.6180555555555556
12H,DISCOVERY,OS,0.50-0.75,325,N_GE_100,0.20615384615384616,0.16572740213010162,0.2534458411578522,0.38153846153846155
12H,DISCOVERY,OS,0.75-1.00,313,N_GE_100,0.12140575079872204,0.08974189507501765,0.1622502675702915,0.19488817891373802
12H,DISCOVERY,OS,1.00-1.50,500,N_GE_100,0.074,0.05416087387750307,0.10033530111082659,0.1
12H,DISCOVERY,OS,1.50-2.00,367,N_GE_100,0.0326975476839237,0.01880134897434792,0.05627544931365429,0.05722070844686648
12H,DISCOVERY,OS,>2.00,231,N_GE_100,0.03463203463203463,0.01765090719056446,0.06683838261158304,0.04329004329004329
12H,VALIDATION,OS,0.00-0.25,78,N_30_99,0.3333333333333333,0.23872517005631883,0.4435879812017211,0.8717948717948718
12H,VALIDATION,OS,0.25-0.50,83,N_30_99,0.37349397590361444,0.2771952750457681,0.48098513618571553,0.6506024096385542
12H,VALIDATION,OS,0.50-0.75,107,N_GE_100,0.22429906542056074,0.1556144407540678,0.3120944338922743,0.34579439252336447
12H,VALIDATION,OS,0.75-1.00,116,N_GE_100,0.09482758620689655,0.05377680892670451,0.16185449105593921,0.2413793103448276
12H,VALIDATION,OS,1.00-1.50,171,N_GE_100,0.09941520467836257,0.06299898745663292,0.1534346301721236,0.11695906432748537
12H,VALIDATION,OS,1.50-2.00,106,N_GE_100,0.04716981132075472,0.020313773391376265,0.10570041431164334,0.05660377358490566
12H,VALIDATION,OS,>2.00,88,N_30_99,0.022727272727272728,0.00625479714413793,0.07912699062959425,0.022727272727272728
15m,DISCOVERY,OS,0.00-0.25,13389,N_GE_100,0.42646948987975203,0.41811445291364957,0.43486670979942244,0.8625737545746508
15m,DISCOVERY,OS,0.25-0.50,14472,N_GE_100,0.33374792703150913,0.32611012492907815,0.3414739691107462,0.5989496959646213
15m,DISCOVERY,OS,0.50-0.75,15346,N_GE_100,0.21705982014857292,0.21060858739820107,0.22365267559750304,0.366610191580868
