timeframe,split,direction,control_id,horizon,sample_count,sample_flag,reversal_rate_event,reversal_wilson_lo,reversal_wilson_hi
1H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,3,485,N_GE_100,0.5649484536082474,0.5204863135087697,0.6083897886887518
1H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,5,485,N_GE_100,0.5567010309278351,0.5122148039903095,0.6002960788805428
1H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,10,485,N_GE_100,0.5298969072164949,0.4854163321540617,0.573907587905115
2H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,1187,N_GE_100,0.535804549283909,0.5073629756311026,0.564015115292157
2H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,1187,N_GE_100,0.5054759898904801,0.47706128196669206,0.5338553672333358
2H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,1187,N_GE_100,0.4793597304128054,0.45105170372043163,0.5078009262179246
2H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,1187,N_GE_100,0.44903117101937656,0.4209443103155299,0.4774468778995945
2H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,1,746,N_GE_100,0.5415549597855228,0.5056769232539583,0.5770072063008703
2H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,3,746,N_GE_100,0.4959785522788204,0.46021198678033437,0.5317863232627468
2H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,5,746,N_GE_100,0.47989276139410186,0.44423625707948694,0.5157552931359185
2H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,10,746,N_GE_100,0.4544235924932976,0.4190169952434093,0.4902971852448432
2H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,1220,N_GE_100,0.578688524590164,0.5507762574993128,0.6061067901107701
2H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,1220,N_GE_100,0.559016393442623,0.5310130988197906,0.5866491868877716
2H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,1220,N_GE_100,0.5663934426229508,0.5384190734763166,0.5939509979446909
2H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,1220,N_GE_100,0.5663934426229508,0.5384190734763166,0.5939509979446909
2H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,1,737,N_GE_100,0.5508819538670285,0.5147990053870968,0.5864372102897768
2H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,3,737,N_GE_100,0.5644504748982361,0.528410030822496,0.5998225090348769
2H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,5,737,N_GE_100,0.5468113975576662,0.5107209328145453,0.5824163856081782
2H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,10,737,N_GE_100,0.5644504748982361,0.528410030822496,0.5998225090348769
2H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,388,N_GE_100,0.5798969072164949,0.5302359964697958,0.6279912055424459
2H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,388,N_GE_100,0.5360824742268041,0.4863490579708681,0.5851083880991764
2H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,388,N_GE_100,0.5128865979381443,0.4632690643347344,0.5622514521188529
2H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,388,N_GE_100,0.4793814432989691,0.43011780720909604,0.5290493664651642
2H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,1,244,N_GE_100,0.48360655737704916,0.42164366298272593,0.5460776557950742
2H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,3,244,N_GE_100,0.4959016393442623,0.4337172784108756,0.5582130512835745
2H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,5,244,N_GE_100,0.48770491803278687,0.42566408087997964,0.5501269082033704
2H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,10,244,N_GE_100,0.430327868852459,0.369755708640759,0.4930598961648911
2H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,393,N_GE_100,0.5852417302798982,0.5359351074858899,0.6328979987207174
2H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,393,N_GE_100,0.5826972010178118,0.5333729790759091,0.6304203329155756
2H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,393,N_GE_100,0.5241730279898219,0.4748013860307125,0.5730766590129523
2H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,393,N_GE_100,0.5343511450381679,0.48493911590171196,0.5830981060024432
2H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,1,244,N_GE_100,0.5409836065573771,0.47830462350081776,0.6023920795546823
2H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,3,244,N_GE_100,0.5409836065573771,0.47830462350081776,0.6023920795546823
2H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,5,244,N_GE_100,0.5286885245901639,0.4660948617733403,0.5903928303655096
2H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,10,244,N_GE_100,0.48360655737704916,0.42164366298272593,0.5460776557950742
30m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,4770,N_GE_100,0.5587002096436059,0.5445671961212153,0.5727387488435276
30m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,4770,N_GE_100,0.5448637316561845,0.5307010123272425,0.5589542456100968
30m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,4770,N_GE_100,0.5358490566037736,0.5216728996310679,0.5499675167581143
30m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,4770,N_GE_100,0.5148846960167714,0.5006952164694848,0.5290502195751464
30m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,1,3054,N_GE_100,0.5412573673870335,0.5235436560684005,0.5588674145377422
30m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,3,3054,N_GE_100,0.5232481990831697,0.5055158966088666,0.5409220876215788
30m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,5,3054,N_GE_100,0.5248853962017027,0.5071538297996033,0.5425544350104511
30m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,10,3054,N_GE_100,0.5111329404060249,0.49340110330150844,0.5288368046398315
30m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,5186,N_GE_100,0.5815657539529503,0.5680840204613311,0.5949267350114371
30m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,5186,N_GE_100,0.5761666023910529,0.5626654189811381,0.5895550264366952
30m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,5186,N_GE_100,0.5780948708060162,0.5646004448829353,0.5914736826973747
30m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,5186,N_GE_100,0.562475896644813,0.5489327358297456,0.5759265662345026
