timeframe,split,direction,horizon,sample_count_event,sample_count_base,sample_flag_event,sample_flag_base,reversal_rate_event,reversal_rate_base,absolute_lift,relative_lift,event_wilson_lo,event_wilson_hi
5m,VALIDATION,OB,5,6275,107937,N_GE_100,N_GE_100,0.5376892430278885,0.4973456738653103,0.04034356916257814,0.08111776432884765,0.5253337228126331,0.5499986442278095
5m,VALIDATION,OB,10,6275,107932,N_GE_100,N_GE_100,0.5300398406374502,0.49646073453656003,0.03357910610089021,0.06763698267544949,0.5176761635678041,0.5423667589993141
5m,VALIDATION,OS,1,6383,107941,N_GE_100,N_GE_100,0.5602381325395582,0.4980220676110097,0.06221606492854853,0.12492632149213057,0.5480285520530613,0.572375248160177
5m,VALIDATION,OS,3,6383,107939,N_GE_100,N_GE_100,0.5564781450728498,0.5004771213370515,0.056001023735798294,0.11189527222780637,0.5442599956479607,0.568628352796441
5m,VALIDATION,OS,5,6383,107937,N_GE_100,N_GE_100,0.545668181106063,0.5011441859603287,0.04452399514573424,0.08884468061904016,0.5334293254679466,0.5578520991410495
5m,VALIDATION,OS,10,6382,107932,N_GE_100,N_GE_100,0.5394860545283611,0.5025942259941445,0.036891828534216575,0.0734028101123596,0.5272370061143533,0.551687594834095
6H,DISCOVERY,OB,1,263,4443,N_GE_100,N_GE_100,0.45627376425855515,0.47400405131667794,-0.017730287058122796,-0.037405349192421444,0.3971369827610321,0.5166695601468202
6H,DISCOVERY,OB,3,263,4443,N_GE_100,N_GE_100,0.41064638783269963,0.4699527346387576,-0.05930634680605795,-0.1261964074996722,0.35289167905374813,0.4709738651492546
6H,DISCOVERY,OB,5,263,4443,N_GE_100,N_GE_100,0.5019011406844106,0.4710781003826244,0.03082304030178623,0.06543084952739431,0.44188137395507837,0.5618661676576235
6H,DISCOVERY,OB,10,263,4443,N_GE_100,N_GE_100,0.4866920152091255,0.4571235651586766,0.02956845005044889,0.06468371421671315,0.426911727564888,0.5468554811461974
6H,DISCOVERY,OS,1,247,4443,N_GE_100,N_GE_100,0.582995951417004,0.5259959486833221,0.05700000273368189,0.10836585885569039,0.5206934715973667,0.6427562911214167
6H,DISCOVERY,OS,3,247,4443,N_GE_100,N_GE_100,0.5668016194331984,0.5298221922124691,0.03697942722072933,0.0697959197713256,0.5044481802967467,0.6271089457939816
6H,DISCOVERY,OS,5,247,4443,N_GE_100,N_GE_100,0.5506072874493927,0.5289218996173757,0.02168538783201701,0.04099922473942619,0.48826854675278236,0.6113959427098905
6H,DISCOVERY,OS,10,247,4443,N_GE_100,N_GE_100,0.582995951417004,0.5424262885437767,0.040569662873227275,0.07479295109782114,0.5206934715973667,0.6427562911214167
6H,VALIDATION,OB,1,87,1500,N_30_99,N_GE_100,0.5057471264367817,0.49666666666666665,0.009080459770115012,0.018282804906271766,0.4026891499485618,0.6083190225186779
6H,VALIDATION,OB,3,87,1498,N_30_99,N_GE_100,0.42528735632183906,0.5033377837116155,-0.07805042738977647,-0.15506570322265933,0.3267307291558499,0.5301630287700343
6H,VALIDATION,OB,5,87,1496,N_30_99,N_GE_100,0.45977011494252873,0.4979946524064171,-0.038224537463888375,-0.07675692355164698,0.3589691971689781,0.5639735955603442
6H,VALIDATION,OB,10,87,1491,N_30_99,N_GE_100,0.39080459770114945,0.4922870556673374,-0.10148245796618793,-0.20614488396128905,0.2949766847095907,0.49586803841285554
6H,VALIDATION,OS,1,89,1500,N_30_99,N_GE_100,0.5842696629213483,0.5033333333333333,0.080936329588015,0.16080065481062578,0.4804691516664702,0.6810963534519249
6H,VALIDATION,OS,3,89,1498,N_30_99,N_GE_100,0.48314606741573035,0.49666221628838453,-0.013516148872654177,-0.027213966412951596,0.3821909362267175,0.5854959627496036
6H,VALIDATION,OS,5,89,1496,N_30_99,N_GE_100,0.6067415730337079,0.5020053475935828,0.10473622544012506,0.20863567677553552,0.5028634843406101,0.7017861554760239
6H,VALIDATION,OS,10,89,1491,N_30_99,N_GE_100,0.5280898876404494,0.5077129443326627,0.02037694330778672,0.04013477208970939,0.4253736442483641,0.6284815241244343
8H,DISCOVERY,OB,1,206,3375,N_GE_100,N_GE_100,0.44660194174757284,0.48059259259259257,-0.03399065084501973,-0.07072653921204786,0.3803073658493984,0.5148516493315761
8H,DISCOVERY,OB,3,206,3375,N_GE_100,N_GE_100,0.4174757281553398,0.4622222222222222,-0.044746494066882414,-0.09680731889469751,0.3522452824206981,0.48572774104080796
8H,DISCOVERY,OB,5,206,3375,N_GE_100,N_GE_100,0.3737864077669903,0.4583703703703704,-0.08458396260338008,-0.18453191582831785,0.31059515501858037,0.4415988808637231
8H,DISCOVERY,OB,10,206,3375,N_GE_100,N_GE_100,0.4320388349514563,0.45214814814814813,-0.020109313196691847,-0.044475053760704486,0.36624736283574294,0.5003186564854973
8H,DISCOVERY,OS,1,174,3375,N_GE_100,N_GE_100,0.5057471264367817,0.5188148148148148,-0.013067688378033182,-0.025187577541897155,0.4321409207992579,0.5791050419001331
8H,DISCOVERY,OS,3,174,3375,N_GE_100,N_GE_100,0.5862068965517241,0.5374814814814814,0.04872541507024264,0.09065505835836207,0.5119344547532682,0.6567549857375955
